"FIPS","State","Year","Month","Employable Population","Employed","Unemployed"
"55","Wisconsin","1976","06","2,140,193   ","2,024,313   ","115,880   "
"56","Wyoming","1976","06","179,296   ","172,109   ","7,187   "
"01","Alabama","1976","07","1,497,488   ","1,398,508   ","98,980   "
"02","Alaska","1976","07","165,354   ","153,206   ","12,148   "
"04","Arizona","1976","07","988,887   ","895,746   ","93,141   "
"05","Arkansas","1976","07","891,219   ","830,028   ","61,191   "
"06","California","1976","07","9,912,233   ","9,021,152   ","891,081   "
"08","Colorado","1976","07","1,235,853   ","1,164,288   ","71,565   "
"09","Connecticut","1976","07","1,462,313   ","1,325,601   ","136,712   "
"10","Delaware","1976","07","265,027   ","240,614   ","24,413   "
"11","District of Columbia","1976","07","334,066   ","304,814   ","29,252   "
"12","Florida","1976","07","3,605,780   ","3,288,271   ","317,509   "
"13","Georgia","1976","07","2,276,334   ","2,095,905   ","180,429   "
"15","Hawaii","1976","07","410,576   ","372,349   ","38,227   "
"16","Idaho","1976","07","374,265   ","353,139   ","21,126   "
"17","Illinois","1976","07","5,154,904   ","4,815,656   ","339,248   "
"18","Indiana","1976","07","2,441,098   ","2,302,543   ","138,555   "
"19","Iowa","1976","07","1,339,836   ","1,288,246   ","51,590   "
"20","Kansas","1976","07","1,073,420   ","1,028,649   ","44,771   "
"21","Kentucky","1976","07","1,494,595   ","1,414,170   ","80,425   "
"22","Louisiana","1976","07","1,533,265   ","1,426,892   ","106,373   "
"23","Maine","1976","07","477,028   ","436,637   ","40,391   "
"24","Maryland","1976","07","1,917,430   ","1,788,622   ","128,808   "
"25","Massachusetts","1976","07","2,723,542   ","2,467,055   ","256,487   "
"26","Michigan","1976","07","4,007,046   ","3,637,730   ","369,316   "
"27","Minnesota","1976","07","1,853,353   ","1,749,692   ","103,661   "
"28","Mississippi","1976","07","972,883   ","912,384   ","60,499   "
"29","Missouri","1976","07","2,132,641   ","2,000,098   ","132,543   "
"30","Montana","1976","07","328,695   ","309,084   ","19,611   "
"31","Nebraska","1976","07","718,924   ","696,607   ","22,317   "
"32","Nevada","1976","07","330,705   ","302,176   ","28,529   "
"33","New Hampshire","1976","07","398,797   ","373,163   ","25,634   "
"34","New Jersey","1976","07","3,318,401   ","2,972,413   ","345,988   "
"35","New Mexico","1976","07","482,648   ","439,924   ","42,724   "
"36","New York","1976","07","7,714,711   ","6,928,065   ","786,646   "
"37","North Carolina","1976","07","2,616,425   ","2,462,323   ","154,102   "
"38","North Dakota","1976","07","279,594   ","269,074   ","10,520   "
"39","Ohio","1976","07","4,749,372   ","4,388,313   ","361,059   "
"40","Oklahoma","1976","07","1,187,467   ","1,120,145   ","67,322   "
"41","Oregon","1976","07","1,087,537   ","989,212   ","98,325   "
"42","Pennsylvania","1976","07","5,130,996   ","4,724,714   ","406,282   "
"44","Rhode Island","1976","07","437,006   ","401,730   ","35,276   "
"45","South Carolina","1976","07","1,294,202   ","1,204,370   ","89,832   "
"46","South Dakota","1976","07","309,365   ","299,746   ","9,619   "
"47","Tennessee","1976","07","1,865,156   ","1,755,158   ","109,998   "
"48","Texas","1976","07","5,739,119   ","5,407,584   ","331,535   "
"49","Utah","1976","07","528,720   ","499,743   ","28,977   "
"50","Vermont","1976","07","216,844   ","198,770   ","18,074   "
"51","Virginia","1976","07","2,343,598   ","2,207,139   ","136,459   "
"53","Washington","1976","07","1,618,080   ","1,474,961   ","143,119   "
"54","West Virginia","1976","07","695,860   ","644,584   ","51,276   "
"55","Wisconsin","1976","07","2,146,728   ","2,031,358   ","115,370   "
"56","Wyoming","1976","07","180,577   ","173,470   ","7,107   "
"01","Alabama","1976","08","1,502,397   ","1,400,824   ","101,573   "
"02","Alaska","1976","08","166,528   ","153,864   ","12,664   "
"04","Arizona","1976","08","993,223   ","900,283   ","92,940   "
"05","Arkansas","1976","08","894,719   ","834,576   ","60,143   "
"06","California","1976","08","9,950,583   ","9,044,297   ","906,286   "
"08","Colorado","1976","08","1,240,888   ","1,166,968   ","73,920   "
"09","Connecticut","1976","08","1,465,194   ","1,330,591   ","134,603   "
"10","Delaware","1976","08","265,641   ","240,547   ","25,094   "
"11","District of Columbia","1976","08","332,802   ","303,227   ","29,575   "
"12","Florida","1976","08","3,608,167   ","3,291,137   ","317,030   "
"13","Georgia","1976","08","2,284,323   ","2,102,593   ","181,730   "
"15","Hawaii","1976","08","410,176   ","373,163   ","37,013   "
"16","Idaho","1976","08","376,375   ","355,153   ","21,222   "
"17","Illinois","1976","08","5,159,514   ","4,817,462   ","342,052   "
"18","Indiana","1976","08","2,446,534   ","2,308,102   ","138,432   "
"19","Iowa","1976","08","1,343,674   ","1,292,323   ","51,351   "
"20","Kansas","1976","08","1,076,173   ","1,031,626   ","44,547   "
"21","Kentucky","1976","08","1,495,794   ","1,416,017   ","79,777   "
"22","Louisiana","1976","08","1,536,888   ","1,428,989   ","107,899   "
"23","Maine","1976","08","477,300   ","436,719   ","40,581   "
"24","Maryland","1976","08","1,921,043   ","1,791,765   ","129,278   "
"25","Massachusetts","1976","08","2,724,895   ","2,473,326   ","251,569   "
"26","Michigan","1976","08","4,014,317   ","3,650,144   ","364,173   "
"27","Minnesota","1976","08","1,860,375   ","1,754,797   ","105,578   "
"28","Mississippi","1976","08","975,202   ","913,230   ","61,972   "
"29","Missouri","1976","08","2,142,316   ","2,006,941   ","135,375   "
"30","Montana","1976","08","330,148   ","310,336   ","19,812   "
"31","Nebraska","1976","08","720,621   ","698,032   ","22,589   "
"32","Nevada","1976","08","332,310   ","303,615   ","28,695   "
"33","New Hampshire","1976","08","400,582   ","375,185   ","25,397   "
"34","New Jersey","1976","08","3,323,094   ","2,975,450   ","347,644   "
"35","New Mexico","1976","08","484,771   ","441,951   ","42,820   "
"36","New York","1976","08","7,711,955   ","6,922,698   ","789,257   "
"37","North Carolina","1976","08","2,619,902   ","2,463,670   ","156,232   "
"38","North Dakota","1976","08","280,450   ","269,615   ","10,835   "
"39","Ohio","1976","08","4,747,542   ","4,390,667   ","356,875   "
"40","Oklahoma","1976","08","1,189,336   ","1,122,770   ","66,566   "
"41","Oregon","1976","08","1,094,762   ","995,155   ","99,607   "
"42","Pennsylvania","1976","08","5,133,739   ","4,733,149   ","400,590   "
"44","Rhode Island","1976","08","437,500   ","401,806   ","35,694   "
"45","South Carolina","1976","08","1,296,450   ","1,206,523   ","89,927   "
"46","South Dakota","1976","08","309,901   ","299,915   ","9,986   "
"47","Tennessee","1976","08","1,876,977   ","1,764,092   ","112,885   "
"48","Texas","1976","08","5,755,786   ","5,426,895   ","328,891   "
"49","Utah","1976","08","531,187   ","502,237   ","28,950   "
"50","Vermont","1976","08","217,539   ","199,763   ","17,776   "
"51","Virginia","1976","08","2,346,485   ","2,209,333   ","137,152   "
"53","Washington","1976","08","1,632,326   ","1,486,462   ","145,864   "
"54","West Virginia","1976","08","693,315   ","644,460   ","48,855   "
"55","Wisconsin","1976","08","2,152,299   ","2,036,363   ","115,936   "
"56","Wyoming","1976","08","181,678   ","174,649   ","7,029   "
"01","Alabama","1976","09","1,507,195   ","1,403,488   ","103,707   "
"02","Alaska","1976","09","167,315   ","154,146   ","13,169   "
